date:2019/11/01 06:21:45,  ip:162.158.118.33,  hostname:162.158.118.33,  requestUrl:/controller/admin/login_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:https://jis-j.com/admin/login.php
date:2019/11/01 06:21:45,  ip:162.158.118.33,  hostname:162.158.118.33,  requestUrl:/admin/menu.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:https://jis-j.com/admin/login.php
date:2019/11/01 06:21:49,  ip:162.158.118.33,  hostname:162.158.118.33,  requestUrl:/admin/news.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:https://jis-j.com/admin/menu.php
date:2019/11/01 06:21:49,  ip:162.158.118.33,  hostname:162.158.118.33,  requestUrl:/controller/admin/news_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:https://jis-j.com/admin/news.php
date:2019/11/01 06:21:54,  ip:162.158.118.33,  hostname:162.158.118.33,  requestUrl:/controller/admin/news_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:https://jis-j.com/admin/news.php
date:2019/11/01 06:22:22,  ip:162.158.118.33,  hostname:162.158.118.33,  requestUrl:/controller/admin/news_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:https://jis-j.com/admin/news.php
date:2019/11/01 06:22:24,  ip:162.158.118.33,  hostname:162.158.118.33,  requestUrl:/controller/admin/news_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:https://jis-j.com/admin/news.php
date:2019/11/01 06:30:00,  ip:162.158.118.33,  hostname:162.158.118.33,  requestUrl:/admin/member.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:https://jis-j.com/admin/news.php
date:2019/11/01 06:30:00,  ip:162.158.118.33,  hostname:162.158.118.33,  requestUrl:/controller/admin/member_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:https://jis-j.com/admin/member.php
date:2019/11/01 06:30:05,  ip:162.158.118.33,  hostname:162.158.118.33,  requestUrl:/admin/store_basic.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:https://jis-j.com/admin/member.php
date:2019/11/01 06:30:05,  ip:162.158.118.33,  hostname:162.158.118.33,  requestUrl:/controller/admin/store_basic_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:https://jis-j.com/admin/store_basic.php
