date:2019/12/02 18:54:02,  ip:162.158.118.29,  hostname:162.158.118.29,  requestUrl:/controller/admin/login_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:https://jis-j.com/admin/login.php
date:2019/12/02 18:54:03,  ip:162.158.118.29,  hostname:162.158.118.29,  requestUrl:/controller/admin/login_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:https://jis-j.com/admin/login.php
date:2019/12/02 18:54:03,  ip:162.158.118.29,  hostname:162.158.118.29,  requestUrl:/admin/menu.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:https://jis-j.com/admin/login.php
date:2019/12/02 18:54:05,  ip:162.158.118.29,  hostname:162.158.118.29,  requestUrl:/admin/news.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:https://jis-j.com/admin/menu.php
date:2019/12/02 18:54:06,  ip:162.158.118.29,  hostname:162.158.118.29,  requestUrl:/controller/admin/news_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:https://jis-j.com/admin/news.php
date:2019/12/02 18:54:07,  ip:162.158.118.29,  hostname:162.158.118.29,  requestUrl:/admin/member.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:https://jis-j.com/admin/news.php
date:2019/12/02 18:54:08,  ip:162.158.118.29,  hostname:162.158.118.29,  requestUrl:/controller/admin/member_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:https://jis-j.com/admin/member.php
date:2019/12/02 18:54:09,  ip:162.158.118.29,  hostname:162.158.118.29,  requestUrl:/admin/store_basic.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:https://jis-j.com/admin/member.php
date:2019/12/02 18:54:09,  ip:162.158.118.29,  hostname:162.158.118.29,  requestUrl:/controller/admin/store_basic_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:https://jis-j.com/admin/store_basic.php
date:2019/12/02 18:54:21,  ip:162.158.118.29,  hostname:162.158.118.29,  requestUrl:/controller/admin/store_basic_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:https://jis-j.com/admin/store_basic.php
date:2019/12/02 18:54:24,  ip:162.158.118.29,  hostname:162.158.118.29,  requestUrl:/controller/admin/store_basic_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:https://jis-j.com/admin/store_basic.php
